impl,kernel,N,iter,gpu_ms,tflops
cublas-half-precision,hgemm,1024,0,0.029312,73.262953
cublas-half-precision,hgemm,1024,1,0.057760,37.179426
cublas-half-precision,hgemm,1024,2,0.018272,117.528662
cublas-half-precision,hgemm,1024,3,0.017952,119.623639
cublas-half-precision,hgemm,1024,4,0.018144,118.357783
cublas-half-precision,hgemm,1024,5,0.017632,121.794670
cublas-half-precision,hgemm,1024,6,0.016800,127.826412
cublas-half-precision,hgemm,1024,7,0.016704,128.561038
cublas-half-precision,hgemm,1024,8,0.018272,117.528662
cublas-half-precision,hgemm,1024,9,0.031072,69.113145
cublas-half-precision,hgemm,2048,0,0.127328,134.926097
cublas-half-precision,hgemm,2048,1,0.113856,150.891203
cublas-half-precision,hgemm,2048,2,0.102464,167.667371
cublas-half-precision,hgemm,2048,3,0.102496,167.615024
cublas-half-precision,hgemm,2048,4,0.107552,159.735470
cublas-half-precision,hgemm,2048,5,0.107328,160.068850
cublas-half-precision,hgemm,2048,6,0.112800,152.303802
cublas-half-precision,hgemm,2048,7,0.143488,119.730351
cublas-half-precision,hgemm,2048,8,0.107424,159.925803
cublas-half-precision,hgemm,2048,9,0.119392,143.894643
cublas-half-precision,hgemm,4096,0,0.645344,212.970059
cublas-half-precision,hgemm,4096,1,0.636864,215.805811
cublas-half-precision,hgemm,4096,2,0.651232,211.044532
cublas-half-precision,hgemm,4096,3,0.662976,207.306068
cublas-half-precision,hgemm,4096,4,0.657056,209.173889
cublas-half-precision,hgemm,4096,5,0.659136,208.513803
cublas-half-precision,hgemm,4096,6,0.635648,216.218647
cublas-half-precision,hgemm,4096,7,0.629280,218.406687
cublas-half-precision,hgemm,4096,8,0.648192,212.034329
cublas-half-precision,hgemm,4096,9,0.635552,216.251315
cublas-half-precision,bgemm,1024,0,0.033216,64.652086
cublas-half-precision,bgemm,1024,1,0.017248,124.506248
cublas-half-precision,bgemm,1024,2,0.017056,125.907816
cublas-half-precision,bgemm,1024,3,0.015072,142.481663
cublas-half-precision,bgemm,1024,4,0.015424,139.230007
cublas-half-precision,bgemm,1024,5,0.016448,130.561989
cublas-half-precision,bgemm,1024,6,0.015200,141.281817
cublas-half-precision,bgemm,1024,7,0.016768,128.070358
cublas-half-precision,bgemm,1024,8,0.017152,125.203103
cublas-half-precision,bgemm,1024,9,0.017600,122.016117
cublas-half-precision,bgemm,2048,0,0.120384,142.708908
cublas-half-precision,bgemm,2048,1,0.101056,170.003452
cublas-half-precision,bgemm,2048,2,0.100640,170.706174
cublas-half-precision,bgemm,2048,3,0.133504,128.684300
cublas-half-precision,bgemm,2048,4,0.101952,168.509386
cublas-half-precision,bgemm,2048,5,0.130080,132.071566
cublas-half-precision,bgemm,2048,6,0.102304,167.929599
cublas-half-precision,bgemm,2048,7,0.106976,160.595543
cublas-half-precision,bgemm,2048,8,0.101728,168.880438
cublas-half-precision,bgemm,2048,9,0.109472,156.933913
cublas-half-precision,bgemm,4096,0,0.628576,218.651297
cublas-half-precision,bgemm,4096,1,0.632384,217.334646
cublas-half-precision,bgemm,4096,2,0.627392,219.063926
cublas-half-precision,bgemm,4096,3,0.626880,219.242847
cublas-half-precision,bgemm,4096,4,0.692992,198.326906
cublas-half-precision,bgemm,4096,5,0.638304,215.318962
cublas-half-precision,bgemm,4096,6,0.626944,219.220460
cublas-half-precision,bgemm,4096,7,0.632608,217.257692
cublas-half-precision,bgemm,4096,8,0.632192,217.400647
cublas-half-precision,bgemm,4096,9,0.649376,211.647734
cublas-half-precision,sgemm_tf32,1024,0,0.058912,36.452397
cublas-half-precision,sgemm_tf32,1024,1,0.029696,72.315584
cublas-half-precision,sgemm_tf32,1024,2,0.029888,71.851031
cublas-half-precision,sgemm_tf32,1024,3,0.027968,76.783596
cublas-half-precision,sgemm_tf32,1024,4,0.027392,78.398206
cublas-half-precision,sgemm_tf32,1024,5,0.027328,78.581809
cublas-half-precision,sgemm_tf32,1024,6,0.027296,78.673934
cublas-half-precision,sgemm_tf32,1024,7,0.027552,77.942933
cublas-half-precision,sgemm_tf32,1024,8,0.027840,77.136626
cublas-half-precision,sgemm_tf32,1024,9,0.029344,73.183058
cublas-half-precision,sgemm_tf32,2048,0,0.191232,89.837839
cublas-half-precision,sgemm_tf32,2048,1,0.195520,87.867580
cublas-half-precision,sgemm_tf32,2048,2,0.223552,76.849542
cublas-half-precision,sgemm_tf32,2048,3,0.193216,88.915357
cublas-half-precision,sgemm_tf32,2048,4,0.191168,89.867915
cublas-half-precision,sgemm_tf32,2048,5,0.192704,89.151593
cublas-half-precision,sgemm_tf32,2048,6,0.192864,89.077636
cublas-half-precision,sgemm_tf32,2048,7,0.192448,89.270186
cublas-half-precision,sgemm_tf32,2048,8,0.192224,89.374217
cublas-half-precision,sgemm_tf32,2048,9,0.193184,88.930082
cublas-half-precision,sgemm_tf32,4096,0,1.351936,101.660844
cublas-half-precision,sgemm_tf32,4096,1,1.359776,101.074700
cublas-half-precision,sgemm_tf32,4096,2,1.321792,103.979259
cublas-half-precision,sgemm_tf32,4096,3,1.319328,104.173457
cublas-half-precision,sgemm_tf32,4096,4,1.318720,104.221484
cublas-half-precision,sgemm_tf32,4096,5,1.326336,103.623027
cublas-half-precision,sgemm_tf32,4096,6,1.319264,104.178502
cublas-half-precision,sgemm_tf32,4096,7,1.318624,104.229069
cublas-half-precision,sgemm_tf32,4096,8,1.546080,88.895112
cublas-half-precision,sgemm_tf32,4096,9,1.318720,104.221484
