impl,kernel,N,iter,gpu_ms,tflops
cublas-matmul,sgemm,1024,0,0.057568,37.303427
cublas-matmul,sgemm,1024,1,0.076544,28.055545
cublas-matmul,sgemm,1024,2,0.067296,31.911016
cublas-matmul,sgemm,1024,3,0.065408,32.832126
cublas-matmul,sgemm,1024,4,0.062784,34.204313
cublas-matmul,sgemm,1024,5,0.063104,34.030862
cublas-matmul,sgemm,1024,6,0.062560,34.326785
cublas-matmul,sgemm,1024,7,0.063264,33.944799
cublas-matmul,sgemm,1024,8,0.063104,34.030862
cublas-matmul,sgemm,1024,9,0.066688,32.201950
cublas-matmul,sgemm,2048,0,0.288576,59.533256
cublas-matmul,sgemm,2048,1,0.268416,64.004642
cublas-matmul,sgemm,2048,2,0.274336,62.623456
cublas-matmul,sgemm,2048,3,0.271776,63.213344
cublas-matmul,sgemm,2048,4,0.276000,62.245904
cublas-matmul,sgemm,2048,5,0.261984,65.576027
cublas-matmul,sgemm,2048,6,0.275168,62.434110
cublas-matmul,sgemm,2048,7,0.272800,62.976060
cublas-matmul,sgemm,2048,8,0.271264,63.332658
cublas-matmul,sgemm,2048,9,0.265408,64.730033
cublas-matmul,sgemm,4096,0,1.931296,71.164106
cublas-matmul,sgemm,4096,1,2.697568,50.949209
cublas-matmul,sgemm,4096,2,2.260288,60.805948
cublas-matmul,sgemm,4096,3,2.204768,62.337152
cublas-matmul,sgemm,4096,4,2.365184,58.109200
cublas-matmul,sgemm,4096,5,1.889344,72.744273
cublas-matmul,sgemm,4096,6,2.862720,48.009918
cublas-matmul,sgemm,4096,7,2.297056,59.832654
cublas-matmul,sgemm,4096,8,1.913120,71.840215
cublas-matmul,sgemm,4096,9,3.255872,42.212640
