impl,kernel,N_elems,iter,gpu_ms,GB_per_s
cuda,vecadd,1048576,0,0.010304,1221.167675
cuda,vecadd,1048576,1,0.004576,2749.762286
cuda,vecadd,1048576,2,0.009984,1260.307736
cuda,vecadd,1048576,3,0.026528,474.325679
cuda,vecadd,1048576,4,0.008256,1524.093109
cuda,vecadd,1048576,5,0.018080,695.957529
cuda,vecadd,1048576,6,0.006560,1918.126793
cuda,vecadd,1048576,7,0.008480,1483.833908
cuda,vecadd,1048576,8,0.005888,2137.043431
cuda,vecadd,1048576,9,0.010208,1232.651986
cuda,vecadd,16777216,0,0.120512,1670.593717
cuda,vecadd,16777216,1,0.114144,1763.794825
cuda,vecadd,16777216,2,0.118816,1694.440030
cuda,vecadd,16777216,3,0.120256,1674.150090
cuda,vecadd,16777216,4,0.223328,901.483903
cuda,vecadd,16777216,5,0.120544,1670.150232
cuda,vecadd,16777216,6,0.121152,1661.768640
cuda,vecadd,16777216,7,0.122112,1648.704423
cuda,vecadd,16777216,8,0.126688,1589.152772
cuda,vecadd,16777216,9,0.112992,1781.777344
cuda,vecadd,67108864,0,1.890016,426.084427
cuda,vecadd,67108864,1,0.501312,1606.397493
cuda,vecadd,67108864,2,0.718208,1121.271764
cuda,vecadd,67108864,3,0.516864,1558.062402
cuda,vecadd,67108864,4,2.247648,358.288472
cuda,vecadd,67108864,5,0.500544,1608.862257
cuda,vecadd,67108864,6,0.513696,1567.671044
cuda,vecadd,67108864,7,0.836448,962.769180
cuda,vecadd,67108864,8,1.830432,439.954253
cuda,vecadd,67108864,9,0.740224,1087.922526
cuda,vecadd,268435456,0,3.663456,879.285981
cuda,vecadd,268435456,1,2.500736,1288.110970
cuda,vecadd,268435456,2,3.887488,828.613635
cuda,vecadd,268435456,3,3.539424,910.098797
cuda,vecadd,268435456,4,4.526688,711.607560
cuda,vecadd,268435456,5,4.202528,766.497087
cuda,vecadd,268435456,6,2.372000,1358.020869
cuda,vecadd,268435456,7,3.580544,899.646947
cuda,vecadd,268435456,8,3.305760,974.428138
cuda,vecadd,268435456,9,7.068640,455.706524
