impl,kernel,batch,n_heads,d_k,d_v,block_v,iter,gpu_us,gbps,tflops
cutile,kda_decode_fused,1,32,128,128,128,0,63.904,66.276,0.049226
cutile,kda_decode_fused,1,32,128,128,128,1,60.032,70.551,0.052401
cutile,kda_decode_fused,1,32,128,128,128,2,20.448,207.127,0.153840
cutile,kda_decode_fused,1,32,128,128,128,3,82.976,51.043,0.037911
cutile,kda_decode_fused,1,32,128,128,128,4,27.136,156.078,0.115925
cutile,kda_decode_fused,1,32,128,128,128,5,69.664,60.797,0.045156
cutile,kda_decode_fused,1,32,128,128,128,6,19.648,215.560,0.160104
cutile,kda_decode_fused,1,32,128,128,128,7,71.328,59.378,0.044102
cutile,kda_decode_fused,1,32,128,128,128,8,18.944,223.571,0.166054
cutile,kda_decode_fused,1,32,128,128,128,9,47.232,89.671,0.066602
cutile,kda_decode_fused,1,32,128,128,128,10,26.816,157.940,0.117308
cutile,kda_decode_fused,1,32,128,128,128,11,28.640,147.882,0.109837
cutile,kda_decode_fused,1,32,128,128,128,12,46.496,91.090,0.067656
cutile,kda_decode_fused,1,32,128,128,128,13,44.672,94.809,0.070418
cutile,kda_decode_fused,1,32,128,128,128,14,47.584,89.007,0.066109
cutile,kda_decode_fused,1,32,128,128,128,15,48.032,88.177,0.065492
cutile,kda_decode_fused,1,32,128,128,128,16,47.104,89.914,0.066783
cutile,kda_decode_fused,1,32,128,128,128,17,46.368,91.342,0.067843
cutile,kda_decode_fused,1,32,128,128,128,18,46.592,90.902,0.067516
cutile,kda_decode_fused,1,32,128,128,128,19,47.328,89.489,0.066467
cutile,kda_decode_fused,1,32,128,128,128,20,46.592,90.902,0.067516
cutile,kda_decode_fused,1,32,128,128,128,21,19.520,216.974,0.161154
cutile,kda_decode_fused,1,32,128,128,128,22,47.040,90.037,0.066873
cutile,kda_decode_fused,1,32,128,128,128,23,59.552,71.120,0.052823
cutile,kda_decode_fused,1,32,128,128,128,24,20.192,209.753,0.155791
cutile,kda_decode_fused,1,32,128,128,128,25,75.008,56.465,0.041939
cutile,kda_decode_fused,1,32,128,128,128,26,25.088,168.819,0.125388
cutile,kda_decode_fused,1,32,128,128,128,27,46.368,91.342,0.067843
cutile,kda_decode_fused,1,32,128,128,128,28,13.792,307.086,0.228084
cutile,kda_decode_fused,1,32,128,128,128,29,67.232,62.996,0.046789
cutile,kda_decode_fused,1,32,128,128,128,30,70.944,59.700,0.044341
cutile,kda_decode_fused,1,32,128,128,128,31,49.056,86.337,0.064125
cutile,kda_decode_fused,1,32,128,128,128,32,26.336,160.819,0.119446
cutile,kda_decode_fused,1,32,128,128,128,33,46.912,90.282,0.067056
cutile,kda_decode_fused,1,32,128,128,128,34,19.776,214.165,0.159068
cutile,kda_decode_fused,1,32,128,128,128,35,19.520,216.974,0.161154
cutile,kda_decode_fused,1,32,128,128,128,36,45.920,92.233,0.068505
cutile,kda_decode_fused,1,32,128,128,128,37,43.360,97.678,0.072549
cutile,kda_decode_fused,1,32,128,128,128,38,46.688,90.716,0.067378
cutile,kda_decode_fused,1,32,128,128,128,39,40.096,105.630,0.078455
cutile,kda_decode_fused,1,32,128,128,128,40,71.168,59.512,0.044201
cutile,kda_decode_fused,1,32,128,128,128,41,63.264,66.947,0.049724
cutile,kda_decode_fused,1,32,128,128,128,42,54.464,77.764,0.057758
cutile,kda_decode_fused,1,32,128,128,128,43,59.584,71.082,0.052795
cutile,kda_decode_fused,1,32,128,128,128,44,55.680,76.066,0.056497
cutile,kda_decode_fused,1,32,128,128,128,45,44.416,95.356,0.070824
cutile,kda_decode_fused,1,32,128,128,128,46,13.056,324.397,0.240941
cutile,kda_decode_fused,1,32,128,128,128,47,14.176,298.767,0.221905
cutile,kda_decode_fused,1,32,128,128,128,48,14.016,302.178,0.224438
cutile,kda_decode_fused,1,32,128,128,128,49,37.152,114.000,0.084672
