impl,kernel,batch,n_heads,d_k,d_v,block_v,iter,gpu_us,gbps,tflops
cutile,kda_decode_fused,4,64,256,256,64,0,135.424,995.936,0.743319
cutile,kda_decode_fused,4,64,256,256,64,1,119.616,1127.555,0.841554
cutile,kda_decode_fused,4,64,256,256,64,2,117.632,1146.572,0.855748
cutile,kda_decode_fused,4,64,256,256,64,3,121.984,1105.666,0.825217
cutile,kda_decode_fused,4,64,256,256,64,4,117.856,1144.393,0.854121
cutile,kda_decode_fused,4,64,256,256,64,5,117.856,1144.393,0.854121
cutile,kda_decode_fused,4,64,256,256,64,6,115.968,1163.024,0.868027
cutile,kda_decode_fused,4,64,256,256,64,7,120.064,1123.348,0.838414
cutile,kda_decode_fused,4,64,256,256,64,8,119.360,1129.973,0.843359
cutile,kda_decode_fused,4,64,256,256,64,9,117.792,1145.015,0.854585
cutile,kda_decode_fused,4,64,256,256,64,10,117.888,1144.082,0.853889
cutile,kda_decode_fused,4,64,256,256,64,11,117.760,1145.326,0.854817
cutile,kda_decode_fused,4,64,256,256,64,12,119.616,1127.555,0.841554
cutile,kda_decode_fused,4,64,256,256,64,13,118.912,1134.230,0.846536
cutile,kda_decode_fused,4,64,256,256,64,14,117.888,1144.082,0.853889
cutile,kda_decode_fused,4,64,256,256,64,15,117.888,1144.082,0.853889
cutile,kda_decode_fused,4,64,256,256,64,16,117.888,1144.082,0.853889
cutile,kda_decode_fused,4,64,256,256,64,17,118.560,1137.598,0.849049
cutile,kda_decode_fused,4,64,256,256,64,18,121.984,1105.666,0.825217
cutile,kda_decode_fused,4,64,256,256,64,19,119.968,1124.246,0.839085
cutile,kda_decode_fused,4,64,256,256,64,20,116.704,1155.690,0.862552
cutile,kda_decode_fused,4,64,256,256,64,21,119.872,1125.147,0.839757
cutile,kda_decode_fused,4,64,256,256,64,22,117.888,1144.082,0.853889
cutile,kda_decode_fused,4,64,256,256,64,23,121.952,1105.956,0.825434
cutile,kda_decode_fused,4,64,256,256,64,24,120.768,1116.799,0.833526
cutile,kda_decode_fused,4,64,256,256,64,25,117.888,1144.082,0.853889
cutile,kda_decode_fused,4,64,256,256,64,26,119.936,1124.546,0.839308
cutile,kda_decode_fused,4,64,256,256,64,27,534.080,252.534,0.188480
cutile,kda_decode_fused,4,64,256,256,64,28,125.760,1072.468,0.800440
cutile,kda_decode_fused,4,64,256,256,64,29,118.400,1139.135,0.850197
cutile,kda_decode_fused,4,64,256,256,64,30,119.584,1127.857,0.841779
cutile,kda_decode_fused,4,64,256,256,64,31,117.760,1145.326,0.854817
cutile,kda_decode_fused,4,64,256,256,64,32,115.872,1163.988,0.868746
cutile,kda_decode_fused,4,64,256,256,64,33,115.808,1164.631,0.869226
cutile,kda_decode_fused,4,64,256,256,64,34,115.840,1164.309,0.868986
cutile,kda_decode_fused,4,64,256,256,64,35,115.840,1164.309,0.868986
cutile,kda_decode_fused,4,64,256,256,64,36,117.888,1144.082,0.853889
cutile,kda_decode_fused,4,64,256,256,64,37,118.016,1142.842,0.852963
cutile,kda_decode_fused,4,64,256,256,64,38,119.904,1124.847,0.839532
cutile,kda_decode_fused,4,64,256,256,64,39,121.792,1107.409,0.826518
cutile,kda_decode_fused,4,64,256,256,64,40,117.696,1145.949,0.855282
cutile,kda_decode_fused,4,64,256,256,64,41,117.024,1152.529,0.860194
cutile,kda_decode_fused,4,64,256,256,64,42,115.872,1163.988,0.868746
cutile,kda_decode_fused,4,64,256,256,64,43,116.032,1162.383,0.867548
cutile,kda_decode_fused,4,64,256,256,64,44,116.864,1154.107,0.861371
cutile,kda_decode_fused,4,64,256,256,64,45,117.888,1144.082,0.853889
cutile,kda_decode_fused,4,64,256,256,64,46,115.264,1170.128,0.873328
cutile,kda_decode_fused,4,64,256,256,64,47,115.264,1170.128,0.873328
cutile,kda_decode_fused,4,64,256,256,64,48,117.216,1150.642,0.858785
cutile,kda_decode_fused,4,64,256,256,64,49,116.256,1160.143,0.865876
