impl,kernel,batch,n_heads,d_k,d_v,block_v,iter,gpu_us,gbps,tflops
cutile,kda_decode_fused,1,16,256,256,64,0,75.840,111.150,0.082957
cutile,kda_decode_fused,1,16,256,256,64,1,70.784,119.089,0.088882
cutile,kda_decode_fused,1,16,256,256,64,2,50.912,165.572,0.123575
cutile,kda_decode_fused,1,16,256,256,64,3,49.408,170.612,0.127337
cutile,kda_decode_fused,1,16,256,256,64,4,58.688,143.634,0.107202
cutile,kda_decode_fused,1,16,256,256,64,5,42.816,196.880,0.146942
cutile,kda_decode_fused,1,16,256,256,64,6,49.056,171.836,0.128250
cutile,kda_decode_fused,1,16,256,256,64,7,54.624,154.320,0.115178
cutile,kda_decode_fused,1,16,256,256,64,8,56.448,149.334,0.111456
cutile,kda_decode_fused,1,16,256,256,64,9,60.096,140.269,0.104690
cutile,kda_decode_fused,1,16,256,256,64,10,61.120,137.919,0.102936
cutile,kda_decode_fused,1,16,256,256,64,11,58.080,145.138,0.108324
cutile,kda_decode_fused,1,16,256,256,64,12,57.504,146.592,0.109409
cutile,kda_decode_fused,1,16,256,256,64,13,57.504,146.592,0.109409
cutile,kda_decode_fused,1,16,256,256,64,14,217.728,38.716,0.028896
cutile,kda_decode_fused,1,16,256,256,64,15,13.792,611.195,0.456167
cutile,kda_decode_fused,1,16,256,256,64,16,13.792,611.195,0.456167
cutile,kda_decode_fused,1,16,256,256,64,17,13.824,609.780,0.455111
cutile,kda_decode_fused,1,16,256,256,64,18,45.568,184.989,0.138067
cutile,kda_decode_fused,1,16,256,256,64,19,15.520,543.144,0.405377
cutile,kda_decode_fused,1,16,256,256,64,20,15.456,545.393,0.407056
cutile,kda_decode_fused,1,16,256,256,64,21,15.840,532.172,0.397188
cutile,kda_decode_fused,1,16,256,256,64,22,15.744,535.417,0.399610
cutile,kda_decode_fused,1,16,256,256,64,23,178.976,47.099,0.035153
cutile,kda_decode_fused,1,16,256,256,64,24,15.840,532.172,0.397188
cutile,kda_decode_fused,1,16,256,256,64,25,13.792,611.195,0.456167
cutile,kda_decode_fused,1,16,256,256,64,26,13.824,609.780,0.455111
cutile,kda_decode_fused,1,16,256,256,64,27,20.992,401.563,0.299707
cutile,kda_decode_fused,1,16,256,256,64,28,15.520,543.144,0.405377
cutile,kda_decode_fused,1,16,256,256,64,29,14.944,564.079,0.421002
cutile,kda_decode_fused,1,16,256,256,64,30,31.776,265.282,0.197994
cutile,kda_decode_fused,1,16,256,256,64,31,15.520,543.144,0.405377
cutile,kda_decode_fused,1,16,256,256,64,32,13.792,611.195,0.456167
cutile,kda_decode_fused,1,16,256,256,64,33,13.824,609.780,0.455111
cutile,kda_decode_fused,1,16,256,256,64,34,37.888,222.487,0.166054
cutile,kda_decode_fused,1,16,256,256,64,35,14.880,566.505,0.422813
cutile,kda_decode_fused,1,16,256,256,64,36,13.792,611.195,0.456167
cutile,kda_decode_fused,1,16,256,256,64,37,13.824,609.780,0.455111
cutile,kda_decode_fused,1,16,256,256,64,38,95.584,88.190,0.065821
cutile,kda_decode_fused,1,16,256,256,64,39,15.488,544.267,0.406215
cutile,kda_decode_fused,1,16,256,256,64,40,15.008,561.674,0.419207
cutile,kda_decode_fused,1,16,256,256,64,41,13.824,609.780,0.455111
cutile,kda_decode_fused,1,16,256,256,64,42,40.992,205.640,0.153480
cutile,kda_decode_fused,1,16,256,256,64,43,15.456,545.393,0.407056
cutile,kda_decode_fused,1,16,256,256,64,44,14.464,582.799,0.434973
cutile,kda_decode_fused,1,16,256,256,64,45,14.400,585.389,0.436907
cutile,kda_decode_fused,1,16,256,256,64,46,16.064,524.751,0.391649
cutile,kda_decode_fused,1,16,256,256,64,47,15.360,548.802,0.409600
cutile,kda_decode_fused,1,16,256,256,64,48,15.008,561.674,0.419207
cutile,kda_decode_fused,1,16,256,256,64,49,39.424,213.819,0.159584
