impl,kernel,batch,seq,n_h,qk_head_dim,qk_pad,d_v,block_m,block_n,iter,gpu_ms,tflops
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,0,3.136896,109.534200
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,1,3.056672,112.408977
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,2,3.061888,112.217490
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,3,3.517056,97.694602
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,4,3.575296,96.103201
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,5,3.843584,89.395049
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,6,3.587584,95.774031
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,7,3.075584,111.717772
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,8,3.971584,86.513939
cutile,mla_fwd_fused,1,2048,128,192,256,128,64,64,9,3.067392,112.016127
