impl,kernel,n,iter,gpu_ms,tflops
cutile,mma_f16xf16_f32acc,1024,0,0.040128,53.515840
cutile,mma_f16xf16_f32acc,1024,1,0.033856,63.429927
cutile,mma_f16xf16_f32acc,1024,2,0.033632,63.852394
cutile,mma_f16xf16_f32acc,1024,3,0.033824,63.489937
cutile,mma_f16xf16_f32acc,1024,4,0.033920,63.310247
cutile,mma_f16xf16_f32acc,1024,5,0.033952,63.250576
cutile,mma_f16xf16_f32acc,1024,6,0.033952,63.250576
cutile,mma_f16xf16_f32acc,1024,7,0.033184,64.714431
cutile,mma_f16xf16_f32acc,1024,8,0.032224,66.642368
cutile,mma_f16xf16_f32acc,1024,9,0.032224,66.642368
cutile,mma_bf16xbf16_f32acc,1024,0,0.042432,50.610004
cutile,mma_bf16xbf16_f32acc,1024,1,0.034496,62.253124
cutile,mma_bf16xbf16_f32acc,1024,2,0.034432,62.368830
cutile,mma_bf16xbf16_f32acc,1024,3,0.035488,60.512955
cutile,mma_bf16xbf16_f32acc,1024,4,0.035904,59.811819
cutile,mma_bf16xbf16_f32acc,1024,5,0.035968,59.705398
cutile,mma_bf16xbf16_f32acc,1024,6,0.036128,59.440979
cutile,mma_bf16xbf16_f32acc,1024,7,0.035296,60.842124
cutile,mma_bf16xbf16_f32acc,1024,8,0.034272,62.660003
cutile,mma_bf16xbf16_f32acc,1024,9,0.034304,62.601551
cutile,mma_tf32xtf32_f32acc,1024,0,0.070080,30.643318
cutile,mma_tf32xtf32_f32acc,1024,1,0.062496,34.361938
cutile,mma_tf32xtf32_f32acc,1024,2,0.062560,34.326785
cutile,mma_tf32xtf32_f32acc,1024,3,0.062624,34.291704
cutile,mma_tf32xtf32_f32acc,1024,4,0.062656,34.274190
cutile,mma_tf32xtf32_f32acc,1024,5,0.062528,34.344352
cutile,mma_tf32xtf32_f32acc,1024,6,0.063648,33.740002
cutile,mma_tf32xtf32_f32acc,1024,7,0.061664,34.825565
cutile,mma_tf32xtf32_f32acc,1024,8,0.062944,34.117367
cutile,mma_tf32xtf32_f32acc,1024,9,0.062976,34.100031
cutile,mma_f32xf32_f32acc,1024,0,0.582432,3.687098
cutile,mma_f32xf32_f32acc,1024,1,0.569440,3.771220
cutile,mma_f32xf32_f32acc,1024,2,0.568416,3.778014
cutile,mma_f32xf32_f32acc,1024,3,0.575648,3.730550
cutile,mma_f32xf32_f32acc,1024,4,0.571520,3.757495
cutile,mma_f32xf32_f32acc,1024,5,0.570528,3.764029
cutile,mma_f32xf32_f32acc,1024,6,0.570848,3.761919
cutile,mma_f32xf32_f32acc,1024,7,0.570016,3.767409
cutile,mma_f32xf32_f32acc,1024,8,0.573952,3.741573
cutile,mma_f32xf32_f32acc,1024,9,0.786944,2.728890
cutile,mma_f16xf16_f32acc,2048,0,0.128672,133.516761
cutile,mma_f16xf16_f32acc,2048,1,0.119840,143.356715
cutile,mma_f16xf16_f32acc,2048,2,0.120064,143.089265
cutile,mma_f16xf16_f32acc,2048,3,0.118816,144.592216
cutile,mma_f16xf16_f32acc,2048,4,0.119936,143.241976
cutile,mma_f16xf16_f32acc,2048,5,0.119968,143.203768
cutile,mma_f16xf16_f32acc,2048,6,0.119968,143.203768
cutile,mma_f16xf16_f32acc,2048,7,0.119392,143.894643
cutile,mma_f16xf16_f32acc,2048,8,0.120288,142.822802
cutile,mma_f16xf16_f32acc,2048,9,0.120320,142.784817
cutile,mma_bf16xbf16_f32acc,2048,0,0.182720,94.022924
