impl,kernel,n,iter,gpu_ms,gbps
cutile,tile256,1048576,0,0.043456,289.555233
cutile,tile256,1048576,1,0.006112,2058.722522
cutile,tile256,1048576,2,0.004544,2769.126674
cutile,tile256,1048576,3,0.005600,2246.948652
cutile,tile256,1048576,4,0.006912,1820.444441
cutile,tile256,1048576,5,0.005952,2114.064462
cutile,tile256,1048576,6,0.005344,2354.586747
cutile,tile256,1048576,7,0.012192,1032.063017
cutile,tile256,1048576,8,0.004512,2788.766021
cutile,tile256,1048576,9,0.005984,2102.759383
cutile,tile256,16777216,0,0.160320,1255.779650
cutile,tile256,16777216,1,0.140800,1429.876371
cutile,tile256,16777216,2,0.113376,1775.742606
cutile,tile256,16777216,3,0.112800,1784.810180
cutile,tile256,16777216,4,0.113504,1773.740062
cutile,tile256,16777216,5,0.105728,1904.193697
cutile,tile256,16777216,6,0.118048,1705.463850
cutile,tile256,16777216,7,0.133760,1505.132955
cutile,tile256,16777216,8,0.118752,1695.353235
cutile,tile256,16777216,9,0.119744,1681.308352
cutile,tile256,67108864,0,0.559040,1440.516517
cutile,tile256,67108864,1,0.531456,1515.283255
cutile,tile256,67108864,2,0.527456,1526.774537
cutile,tile256,67108864,3,0.524608,1535.063025
cutile,tile256,67108864,4,0.516448,1559.317367
cutile,tile256,67108864,5,0.519424,1550.383377
cutile,tile256,67108864,6,0.516064,1560.477744
cutile,tile256,67108864,7,0.511488,1574.438376
cutile,tile256,67108864,8,0.511232,1575.226783
cutile,tile256,67108864,9,0.512992,1569.822394
cutile,tile256,268435456,0,2.085088,1544.887050
cutile,tile256,268435456,1,2.058304,1564.990089
cutile,tile256,268435456,2,2.102432,1532.142515
cutile,tile256,268435456,3,2.049344,1571.832437
cutile,tile256,268435456,4,2.057248,1565.793376
cutile,tile256,268435456,5,2.073088,1553.829640
cutile,tile256,268435456,6,2.046368,1574.118465
cutile,tile256,268435456,7,2.058176,1565.087441
cutile,tile256,268435456,8,2.314080,1392.011284
cutile,tile256,268435456,9,2.583424,1246.882184
cutile,tile1024,1048576,0,0.036032,349.214933
cutile,tile1024,1048576,1,0.024800,507.375469
cutile,tile1024,1048576,2,0.005280,2383.127202
cutile,tile1024,1048576,3,0.005568,2259.862060
cutile,tile1024,1048576,4,0.007136,1763.300484
cutile,tile1024,1048576,5,0.025152,500.274816
cutile,tile1024,1048576,6,0.004256,2956.511409
cutile,tile1024,1048576,7,0.005216,2412.368035
cutile,tile1024,1048576,8,0.006976,1803.743111
cutile,tile1024,1048576,9,0.005344,2354.586747
cutile,tile1024,16777216,0,0.117280,1716.631939
cutile,tile1024,16777216,1,0.133632,1506.574665
cutile,tile1024,16777216,2,0.113184,1778.754915
cutile,tile1024,16777216,3,0.104832,1920.468846
cutile,tile1024,16777216,4,0.119712,1681.757783
cutile,tile1024,16777216,5,0.111904,1799.100900
cutile,tile1024,16777216,6,0.117600,1711.960796
cutile,tile1024,16777216,7,0.133856,1504.053567
cutile,tile1024,16777216,8,0.118464,1699.474871
cutile,tile1024,16777216,9,0.134592,1495.828853
cutile,tile1024,67108864,0,0.563168,1429.957639
cutile,tile1024,67108864,1,0.517216,1557.001961
cutile,tile1024,67108864,2,0.512352,1571.783430
cutile,tile1024,67108864,3,0.501824,1604.758508
cutile,tile1024,67108864,4,0.519968,1548.761480
cutile,tile1024,67108864,5,0.524000,1536.844246
cutile,tile1024,67108864,6,0.518368,1553.541806
cutile,tile1024,67108864,7,0.517984,1554.693600
cutile,tile1024,67108864,8,0.516480,1559.220731
cutile,tile1024,67108864,9,0.518912,1551.913120
cutile,tile1024,268435456,0,2.088032,1542.708857
cutile,tile1024,268435456,1,2.038496,1580.197089
cutile,tile1024,268435456,2,2.051392,1570.263191
cutile,tile1024,268435456,3,2.559040,1258.763202
cutile,tile1024,268435456,4,2.155456,1494.451927
cutile,tile1024,268435456,5,2.050464,1570.973987
cutile,tile1024,268435456,6,2.065344,1559.655594
cutile,tile1024,268435456,7,2.809888,1146.389323
cutile,tile1024,268435456,8,2.065216,1559.752283
cutile,tile1024,268435456,9,2.055936,1566.792604
