impl,shape,iter,total_ms,qkt_ms,softmax_ms,pv_ms,TFLOPS
oxide-attn-gqa,correctness,0,0.093824,,,,0.179
oxide-attn-gqa,correctness,1,0.020896,,,,0.803
oxide-attn-gqa,correctness,2,0.051136,,,,0.328
oxide-attn-gqa,llama3_8b,0,3.326144,1.348736,0.702464,1.274944,20.660
oxide-attn-gqa,llama3_8b,1,3.686944,2.078208,0.705536,0.903200,18.639
oxide-attn-gqa,llama3_8b,2,2.858208,1.243680,0.703136,0.911392,24.043
oxide-attn-gqa,llama3_8b,3,3.382816,1.245632,0.717888,1.419296,20.314
oxide-attn-gqa,llama3_8b,4,3.890944,1.287520,0.719232,1.884192,17.661
oxide-attn-gqa,llama3_8b,5,2.848864,1.241728,0.701888,0.905248,24.122
oxide-attn-gqa,llama3_8b,6,3.613632,1.245760,1.182080,1.185792,19.017
oxide-attn-gqa,llama3_8b,7,2.848768,1.239104,0.700928,0.908736,24.123
oxide-attn-gqa,llama3_8b,8,2.869600,1.258048,0.704256,0.907296,23.947
oxide-attn-gqa,llama3_8b,9,2.846112,1.234304,0.702464,0.909344,24.145
