impl,kernel,N,iter,gpu_ms,cpu_wall_ms,tflops
oxide,safe,1024,0,1.696384,2.192312,1.265918
oxide,safe,1024,1,0.789888,0.837207,2.718719
oxide,safe,1024,2,1.063712,1.108181,2.018858
oxide,safe,1024,3,1.544416,1.691306,1.390483
oxide,safe,1024,4,0.773248,0.793420,2.777225
oxide,safe,1024,5,0.711936,1.047685,3.016400
oxide,safe,1024,6,1.099296,1.126020,1.953508
oxide,safe,1024,7,0.735872,0.764621,2.918284
oxide,safe,1024,8,0.709632,0.734619,3.026193
oxide,safe,1024,9,0.974496,0.990038,2.203686
oxide,unchecked,1024,0,0.330048,0.355795,6.506580
oxide,unchecked,1024,1,0.331616,0.355199,6.475814
oxide,unchecked,1024,2,0.330976,0.359691,6.488336
oxide,unchecked,1024,3,0.330624,0.358589,6.495244
oxide,unchecked,1024,4,0.329792,0.363490,6.511631
oxide,unchecked,1024,5,0.329440,0.366178,6.518588
oxide,unchecked,1024,6,0.326112,0.453253,6.585111
oxide,unchecked,1024,7,0.335008,0.365141,6.410246
oxide,unchecked,1024,8,0.336672,0.368019,6.378563
oxide,unchecked,1024,9,0.326048,0.474833,6.586404
oxide,safe,2048,0,7.369184,7.289712,2.331312
oxide,safe,2048,1,6.958592,6.877201,2.468871
oxide,safe,2048,2,6.768064,6.712302,2.538373
oxide,safe,2048,3,7.673312,7.683677,2.238912
oxide,safe,2048,4,8.147456,8.037058,2.108618
oxide,safe,2048,5,6.664064,6.592026,2.577987
oxide,safe,2048,6,7.724416,7.943746,2.224099
oxide,safe,2048,7,7.647232,7.602550,2.246547
oxide,safe,2048,8,7.279392,7.457625,2.360069
oxide,safe,2048,9,6.903648,6.819902,2.488520
oxide,unchecked,2048,0,2.418400,2.555919,7.103816
oxide,unchecked,2048,1,2.684928,2.848888,6.398633
oxide,unchecked,2048,2,3.463200,4.049532,4.960692
oxide,unchecked,2048,3,2.662208,3.984102,6.453241
oxide,unchecked,2048,4,2.751904,2.860551,6.242903
oxide,unchecked,2048,5,3.874688,4.000359,4.433872
oxide,unchecked,2048,6,2.766176,2.799025,6.210693
oxide,unchecked,2048,7,3.584288,3.689060,4.793105
oxide,unchecked,2048,8,2.701056,2.726471,6.360427
oxide,unchecked,2048,9,2.749696,2.776988,6.247916
oxide,safe,4096,0,66.625053,65.058716,2.062872
oxide,safe,4096,1,69.781693,68.122609,1.969556
oxide,safe,4096,2,66.897087,65.298728,2.054483
oxide,safe,4096,3,65.657730,64.414816,2.093264
oxide,safe,4096,4,64.872833,63.588834,2.118590
oxide,safe,4096,5,66.230499,65.198402,2.075161
oxide,safe,4096,6,69.355934,68.000566,1.981647
oxide,safe,4096,7,70.748451,69.362879,1.942643
oxide,safe,4096,8,64.707520,63.438811,2.124003
oxide,safe,4096,9,65.293282,64.178728,2.104948
oxide,unchecked,4096,0,25.539040,25.120615,5.381524
oxide,unchecked,4096,1,23.777248,23.411535,5.780272
oxide,unchecked,4096,2,25.514400,25.088820,5.386721
oxide,unchecked,4096,3,23.490911,23.094107,5.850729
oxide,unchecked,4096,4,26.165632,25.743023,5.252652
oxide,unchecked,4096,5,23.671265,23.275402,5.806152
oxide,unchecked,4096,6,25.129215,24.829888,5.469290
oxide,unchecked,4096,7,24.132896,23.729539,5.695087
oxide,unchecked,4096,8,24.149120,23.734121,5.691261
oxide,unchecked,4096,9,26.076033,25.687698,5.270700
