impl,kernel,N_elems,iter,gpu_ms,GB_per_s
oxide,safe,1048576,0,0.006016,2091.574408
oxide,safe,1048576,1,0.008896,1414.446083
oxide,safe,1048576,2,0.007904,1591.967682
oxide,safe,1048576,3,0.004224,2978.909068
oxide,safe,1048576,4,0.010080,1248.304714
oxide,safe,1048576,5,0.009952,1264.360085
oxide,safe,1048576,6,0.007424,1694.896509
oxide,safe,1048576,7,0.008544,1472.719124
oxide,safe,1048576,8,0.007648,1645.255224
oxide,safe,1048576,9,0.009120,1379.705324
oxide,unchecked,1048576,0,0.007936,1585.548409
oxide,unchecked,1048576,1,0.006304,1996.020292
oxide,unchecked,1048576,2,0.013024,966.132645
oxide,unchecked,1048576,3,0.008832,1424.695621
oxide,unchecked,1048576,4,0.007520,1673.259578
oxide,unchecked,1048576,5,0.008096,1554.213404
oxide,unchecked,1048576,6,0.010176,1236.528279
oxide,unchecked,1048576,7,0.009280,1355.917259
oxide,unchecked,1048576,8,0.011840,1062.745962
oxide,unchecked,1048576,9,0.008736,1440.351583
oxide,safe,16777216,0,0.115456,1743.751663
oxide,safe,16777216,1,0.108320,1858.628103
oxide,safe,16777216,2,0.125120,1609.068043
oxide,safe,16777216,3,0.113312,1776.745575
oxide,safe,16777216,4,0.115072,1749.570679
oxide,safe,16777216,5,0.168256,1196.549261
oxide,safe,16777216,6,0.116736,1724.631545
oxide,safe,16777216,7,0.122016,1650.001604
oxide,safe,16777216,8,0.121728,1653.905322
oxide,safe,16777216,9,0.150016,1342.034175
oxide,unchecked,16777216,0,0.110816,1816.764624
oxide,unchecked,16777216,1,0.114816,1753.471533
oxide,unchecked,16777216,2,0.112480,1789.887914
oxide,unchecked,16777216,3,0.323808,621.746785
oxide,unchecked,16777216,4,0.113568,1772.740483
oxide,unchecked,16777216,5,0.121312,1659.576895
oxide,unchecked,16777216,6,0.114144,1763.794825
oxide,unchecked,16777216,7,0.115680,1740.375079
oxide,unchecked,16777216,8,0.116416,1729.372185
oxide,unchecked,16777216,9,0.780768,257.857133
oxide,safe,67108864,0,0.579776,1388.995721
oxide,safe,67108864,1,0.592992,1358.039160
oxide,safe,67108864,2,0.505856,1591.967682
oxide,safe,67108864,3,1.784448,451.291579
oxide,safe,67108864,4,0.500800,1608.039829
oxide,safe,67108864,5,0.706752,1139.446886
oxide,safe,67108864,6,0.518976,1551.721871
oxide,safe,67108864,7,1.992352,404.198839
oxide,safe,67108864,8,0.715552,1125.433790
oxide,safe,67108864,9,0.605088,1330.891331
oxide,unchecked,67108864,0,1.760256,457.493878
oxide,unchecked,67108864,1,0.717568,1122.271882
oxide,unchecked,67108864,2,0.822656,978.910251
oxide,unchecked,67108864,3,1.768224,455.432325
oxide,unchecked,67108864,4,0.714464,1127.147565
oxide,unchecked,67108864,5,1.877472,428.931217
oxide,unchecked,67108864,6,0.905600,889.251720
oxide,unchecked,67108864,7,1.767264,455.679720
oxide,unchecked,67108864,8,0.717888,1121.771600
oxide,unchecked,67108864,9,0.562240,1432.317803
oxide,safe,268435456,0,6.903296,466.621375
oxide,safe,268435456,1,2.571680,1252.576287
oxide,safe,268435456,2,3.672768,877.056588
oxide,safe,268435456,3,2.081248,1547.737416
oxide,safe,268435456,4,4.024864,800.331468
oxide,safe,268435456,5,2.359264,1365.351912
oxide,safe,268435456,6,2.379136,1353.947549
oxide,safe,268435456,7,4.542816,709.081186
oxide,safe,268435456,8,4.384512,734.682790
oxide,safe,268435456,9,3.122048,1031.766832
oxide,unchecked,268435456,0,6.135712,524.996185
oxide,unchecked,268435456,1,4.062304,792.955292
oxide,unchecked,268435456,2,4.681088,688.136068
oxide,unchecked,268435456,3,4.597632,700.627088
oxide,unchecked,268435456,4,5.968608,539.694603
oxide,unchecked,268435456,5,6.125184,525.898559
oxide,unchecked,268435456,6,5.324864,604.940432
oxide,unchecked,268435456,7,4.773600,674.800026
oxide,unchecked,268435456,8,3.170848,1015.887731
oxide,unchecked,268435456,9,3.964128,812.593705
