impl,kernel,N,iter,gpu_ms,cpu_wall_ms,tflops
oxide,safe,1024,0,0.30896,0.357378,6.950685
oxide,safe,1024,1,0.310912,0.364483,6.907046
oxide,safe,1024,2,0.30928,0.514065,6.943493
oxide,safe,1024,3,0.31088,0.352011,6.907757
oxide,safe,1024,4,0.307968,0.372370,6.973074
oxide,safe,1024,5,0.31696,0.357469,6.775251
oxide,safe,1024,6,0.309312,0.354550,6.942775
oxide,safe,1024,7,0.3088,0.348883,6.954286
oxide,safe,1024,8,0.310016,0.354679,6.927009
oxide,safe,1024,9,0.30496,0.487329,7.041853
oxide,unchecked,1024,0,0.308736,0.350333,6.955728
oxide,unchecked,1024,1,0.307648,0.344905,6.980327
oxide,unchecked,1024,2,0.309632,0.348923,6.9356
oxide,unchecked,1024,3,0.308576,0.349492,6.959335
oxide,unchecked,1024,4,0.308768,0.345396,6.955007
oxide,unchecked,1024,5,0.310464,0.348872,6.917014
oxide,unchecked,1024,6,0.308992,0.352866,6.949965
oxide,unchecked,1024,7,0.31056,0.347834,6.914875
oxide,unchecked,1024,8,0.311168,0.355859,6.901364
oxide,unchecked,1024,9,0.30384,0.560580,7.067811
oxide,fmuladd,1024,0,0.309152,0.359716,6.946368
oxide,fmuladd,1024,1,0.31024,0.381929,6.922008
oxide,fmuladd,1024,2,0.306848,1.026616,6.998526
oxide,fmuladd,1024,3,0.313216,0.512065,6.856239
oxide,fmuladd,1024,4,0.310432,0.347424,6.917727
oxide,fmuladd,1024,5,0.31392,0.348433,6.840863
oxide,fmuladd,1024,6,0.317952,0.543998,6.754113
oxide,fmuladd,1024,7,0.309408,0.353021,6.940621
oxide,fmuladd,1024,8,0.309024,0.354670,6.949245
oxide,fmuladd,1024,9,0.310144,0.348993,6.92415
oxide,safe,2048,0,2.694016,2.766327,6.377048
oxide,safe,2048,1,3.38896,3.467892,5.069363
oxide,safe,2048,2,2.304928,2.376555,7.453538
oxide,safe,2048,3,3.340032,3.417647,5.143624
oxide,safe,2048,4,2.695776,2.758351,6.372885
oxide,safe,2048,5,2.721504,2.784178,6.312638
oxide,safe,2048,6,2.633088,3.028828,6.524609
oxide,safe,2048,7,2.689248,2.776981,6.388354
oxide,safe,2048,8,2.698176,3.036252,6.367216
oxide,safe,2048,9,2.286048,2.335547,7.515096
oxide,unchecked,2048,0,2.308736,2.862856,7.441244
oxide,unchecked,2048,1,3.049536,3.111701,5.633601
oxide,unchecked,2048,2,2.308864,2.740331,7.440832
oxide,unchecked,2048,3,2.549152,2.618907,6.739445
oxide,unchecked,2048,4,3.368192,3.540662,5.100621
oxide,unchecked,2048,5,2.956992,3.034155,5.809914
oxide,unchecked,2048,6,3.108672,3.203174,5.526434
oxide,unchecked,2048,7,2.974112,3.060689,5.77647
oxide,unchecked,2048,8,2.611104,2.694465,6.579542
oxide,unchecked,2048,9,2.60576,2.949249,6.593036
oxide,fmuladd,2048,0,2.309056,2.400804,7.440213
oxide,fmuladd,2048,1,3.217504,3.277932,5.339502
oxide,fmuladd,2048,2,2.299392,2.363983,7.471483
oxide,fmuladd,2048,3,2.840672,2.893169,6.047819
oxide,fmuladd,2048,4,3.079936,3.518224,5.577995
oxide,fmuladd,2048,5,2.889568,2.975834,5.94548
oxide,fmuladd,2048,6,3.932992,4.015329,4.368142
oxide,fmuladd,2048,7,2.982752,3.465611,5.759738
oxide,fmuladd,2048,8,3.13536,3.289503,5.479393
oxide,fmuladd,2048,9,3.554208,3.638773,4.83367
oxide,safe,4096,0,29.823681,29.872555,4.608383
oxide,safe,4096,1,30.23024,30.687515,4.546406
